1200	179619
56	413
0	211	98
212	0	61
0	213	58
214	0	44
215	0	19
216	0	90
0	217	77
0	218	59
0	219	18
0	220	51
0	221	85
222	0	80
223	0	40
0	224	96
0	225	3
226	0	66
227	0	38
228	0	85
229	0	70
230	0	40
231	0	71
232	0	3
0	233	17
234	0	10
235	0	27
0	236	88
0	237	54
0	238	89
0	239	69
240	0	52
0	241	74
242	0	64
0	243	50
244	0	90
0	245	97
246	0	81
247	0	28
248	0	64
249	0	4
0	250	36
0	251	44
0	252	27
0	253	36
0	254	2
0	255	12
0	256	97
0	257	20
0	258	41
259	0	52
0	260	55
0	261	98
0	262	33
263	0	19
264	0	62
265	0	7
266	0	63
0	267	25
268	0	53
269	0	89
0	270	90
271	0	35
272	0	82
0	273	5
274	0	26
275	0	18
276	0	49
277	0	100
0	278	69
0	279	44
280	0	95
0	281	97
0	282	43
283	0	12
284	0	83
0	285	17
0	286	85
0	287	25
0	288	41
0	289	63
290	0	100
291	0	1
0	292	32
293	0	22
294	0	3
0	295	79
296	0	86
297	0	71
0	298	50
299	0	14
1	2	94
3	1	26
4	1	9
5	1	14
1	6	2
7	1	65
1	8	81
9	1	52
1	10	33
1	11	96
1	12	97
1	13	5
1	14	15
1	15	91
16	1	60
17	1	68
1	18	31
19	1	40
1	20	89
21	1	29
22	1	48
23	1	62
24	1	40
25	1	4
1	26	15
1	27	43
1	28	96
29	1	90
1	30	56
31	1	19
32	1	52
1	33	53
1	34	7
35	1	93
36	1	17
1	37	79
1	38	62
39	1	14
1	40	36
1	41	30
1	42	80
1	43	47
44	1	33
1	45	85
1	46	16
47	1	99
1	48	72
1	49	18
50	1	51
1	51	49
52	1	28
1	53	18
1	54	94
1	55	3
1	56	20
1	57	100
1	58	76
1	59	92
60	1	36
61	1	38
62	1	74
1	63	10
1	64	48
65	1	64
1	66	64
67	1	55
68	1	99
69	1	82
70	1	100
71	1	61
72	1	4
1	73	93
1	74	97
75	1	23
1	76	96
77	1	14
1	78	82
79	1	91
80	1	23
1	81	99
1	82	35
1	83	93
84	1	28
1	85	97
1	86	79
1	87	22
1	88	65
89	1	60
90	1	27
91	1	37
1	92	4
1	93	85
1	94	70
95	1	56
96	1	87
1	97	93
98	1	73
99	1	75
100	1	91
101	1	15
102	1	46
1	103	5
1	104	24
105	1	9
1	106	68
1	107	64
1	108	55
109	1	54
110	1	17
111	1	90
1	112	24
1	113	2
114	1	15
1	115	55
116	1	29
1	117	17
1	118	31
1	119	41
1	120	35
1	121	85
1	122	55
123	1	54
124	1	55
125	1	72
1	126	26
1	127	58
1	128	44
1	129	85
130	1	22
1	131	57
132	1	8
133	1	86
1	134	54
1	135	26
136	1	37
137	1	5
138	1	85
139	1	40
140	1	57
141	1	90
142	1	53
1	143	72
1	144	55
1	145	57
146	1	95
147	1	92
148	1	92
149	1	8
1	150	62
1	151	38
1	152	17
1	153	35
154	1	90
1	155	84
156	1	99
1	157	18
1	158	20
1	159	35
1	160	100
161	1	12
1	162	68
163	1	42
1	164	15
1	165	46
1	166	34
167	1	97
1	168	82
169	1	11
1	170	12
171	1	65
172	1	71
173	1	77
174	1	10
1	175	66
176	1	26
177	1	46
1	178	87
179	1	91
180	1	88
181	1	8
1	182	80
183	1	77
184	1	67
185	1	30
186	1	100
187	1	6
188	1	57
189	1	21
1	190	83
1	191	24
192	1	95
193	1	74
194	1	77
195	1	37
196	1	95
1	197	25
198	1	21
199	1	5
1	200	100
201	1	41
202	1	53
1	203	87
1	204	8
205	1	21
206	1	1
207	1	87
208	1	79
1	209	50
1	210	12
211	1	48
1	212	74
213	1	38
214	1	82
215	1	72
216	1	75
217	1	22
218	1	59
1	219	69
1	220	3
1	221	55
222	1	7
223	1	51
224	1	72
1	225	30
226	1	22
227	1	54
1	228	45
1	229	61
230	1	39
1	231	62
1	232	58
233	1	12
234	1	56
235	1	52
1	236	33
237	1	100
1	238	92
1	239	71
240	1	22
241	1	13
1	242	96
1	243	27
1	244	22
1	245	26
1	246	86
1	247	61
1	248	26
1	249	22
250	1	16
1	251	92
1	252	25
253	1	42
1	254	4
1	255	94
256	1	72
1	257	38
1	258	84
259	1	42
260	1	77
1	261	43
262	1	71
263	1	61
264	1	97
265	1	64
266	1	73
267	1	86
1	268	58
269	1	75
270	1	44
271	1	39
272	1	28
1	273	35
274	1	73
275	1	61
276	1	51
1	277	80
278	1	6
279	1	99
280	1	75
1	281	35
282	1	31
1	283	31
284	1	59
1	285	80
286	1	46
1	287	21
288	1	66
289	1	48
290	1	85
291	1	20
292	1	86
1	293	30
1	294	59
295	1	21
296	1	49
297	1	36
298	1	32
1	299	8
3	2	78
4	2	82
2	5	74
6	2	66
7	2	36
8	2	84
9	2	85
10	2	53
11	2	30
2	12	88
13	2	8
14	2	95
2	15	4
16	2	29
17	2	32
2	18	42
2	19	23
20	2	9
2	21	29
2	22	78
2	23	63
24	2	73
25	2	19
2	26	76
2	27	48
2	28	36
29	2	98
2	30	74
2	31	49
2	32	26
33	2	34
34	2	47
35	2	2
2	36	5
2	37	88
38	2	80
2	39	19
2	40	51
41	2	82
42	2	43
43	2	46
2	44	77
45	2	54
46	2	44
47	2	97
48	2	68
2	49	60
2	50	54
2	51	88
52	2	55
2	53	5
2	54	7
55	2	98
2	56	85
2	57	57
2	58	35
2	59	24
2	60	11
2	61	76
62	2	44
2	63	30
64	2	92
65	2	21
2	66	98
2	67	57
2	68	3
2	69	52
2	70	62
71	2	81
2	72	57
2	73	18
2	74	8
2	75	32
2	76	93
77	2	90
2	78	94
79	2	39
80	2	76
2	81	57
82	2	66
2	83	68
2	84	81
2	85	18
86	2	31
87	2	76
2	88	87
89	2	6
2	90	23
91	2	22
2	92	20
93	2	6
2	94	40
95	2	59
2	96	59
97	2	75
2	98	93
99	2	52
2	100	50
2	101	53
102	2	79
2	103	89
104	2	18
2	105	91
2	106	59
2	107	4
108	2	22
2	109	94
2	110	14
111	2	10
112	2	68
113	2	45
2	114	10
2	115	64
2	116	98
117	2	68
118	2	95
2	119	64
2	120	9
121	2	52
122	2	7
2	123	65
2	124	7
125	2	22
126	2	21
127	2	65
2	128	39
129	2	18
130	2	36
2	131	42
132	2	92
133	2	38
134	2	19
135	2	48
136	2	46
2	137	72
2	138	80
139	2	61
140	2	61
141	2	61
142	2	58
2	143	25
2	144	30
2	145	50
146	2	59
2	147	23
148	2	95
2	149	79
2	150	94
151	2	99
2	152	41
2	153	18
2	154	84
2	155	94
2	156	92
157	2	85
2	158	4
2	159	48
160	2	80
161	2	16
2	162	32
163	2	68
164	2	26
2	165	77
166	2	54
2	167	89
2	168	13
2	169	5
2	170	24
171	2	15
172	2	21
2	173	46
174	2	36
175	2	29
176	2	32
2	177	6
2	178	20
2	179	9
180	2	40
181	2	67
182	2	80
183	2	13
2	184	72
2	185	36
2	186	96
187	2	64
2	188	7
189	2	43
2	190	55
2	191	67
192	2	17
193	2	71
2	194	56
195	2	18
2	196	24
197	2	97
198	2	81
199	2	81
2	200	50
201	2	42
202	2	10
203	2	100
204	2	92
2	205	95
206	2	40
207	2	1
2	208	79
209	2	87
2	210	1
2	211	4
2	212	45
2	213	37
214	2	89
2	215	5
2	216	14
2	217	46
218	2	78
219	2	12
220	2	63
2	221	41
222	2	97
223	2	18
2	224	87
225	2	29
2	226	89
2	227	95
2	228	37
229	2	82
2	230	43
231	2	88
232	2	54
2	233	75
234	2	98
235	2	57
2	236	4
2	237	11
2	238	85
239	2	54
240	2	2
241	2	43
242	2	19
2	243	34
2	244	97
2	245	19
2	246	78
2	247	40
2	248	43
249	2	92
2	250	10
2	251	26
252	2	81
253	2	5
2	254	35
255	2	62
2	256	19
2	257	77
258	2	10
259	2	19
260	2	95
2	261	40
262	2	9
263	2	41
264	2	82
265	2	72
2	266	85
267	2	17
2	268	2
2	269	22
270	2	39
2	271	27
272	2	27
273	2	61
2	274	21
2	275	43
276	2	33
2	277	35
2	278	22
2	279	49
280	2	30
2	281	30
282	2	73
283	2	73
2	284	97
2	285	29
286	2	31
2	287	59
288	2	67
289	2	39
290	2	71
2	291	60
2	292	4
293	2	3
294	2	30
295	2	36
2	296	51
297	2	5
2	298	66
299	2	53
4	3	10
3	5	76
6	3	86
7	3	33
8	3	76
9	3	73
3	10	27
3	11	24
12	3	2
3	13	59
3	14	54
3	15	61
3	16	40
3	17	20
3	18	46
3	19	37
3	20	87
3	21	23
22	3	32
3	23	64
3	24	51
25	3	83
26	3	60
27	3	99
28	3	49
29	3	63
30	3	14
31	3	70
3	32	40
33	3	90
3	34	77
35	3	28
36	3	28
37	3	17
3	38	71
3	39	44
40	3	31
41	3	15
3	42	61
3	43	89
44	3	89
45	3	29
3	46	53
47	3	72
48	3	34
49	3	62
3	50	85
51	3	88
52	3	75
3	53	25
54	3	70
3	55	38
56	3	17
3	57	49
58	3	2
59	3	7
3	60	62
3	61	64
3	62	17
3	63	3
3	64	92
65	3	15
3	66	22
3	67	48
3	68	67
3	69	9
3	70	49
71	3	67
3	72	65
73	3	99
74	3	48
75	3	57
76	3	33
3	77	36
78	3	55
79	3	41
80	3	66
81	3	100
3	82	11
83	3	39
3	84	28
3	85	62
3	86	66
87	3	68
88	3	39
89	3	85
90	3	24
3	91	30
92	3	83
93	3	78
94	3	56
3	95	62
3	96	6
97	3	8
3	98	42
99	3	69
100	3	85
3	101	9
3	102	36
3	103	42
3	104	89
3	105	41
106	3	19
3	107	4
108	3	49
109	3	95
3	110	84
3	111	60
3	112	52
113	3	83
114	3	51
3	115	89
3	116	60
117	3	49
118	3	59
119	3	11
120	3	86
3	121	47
3	122	22
123	3	64
3	124	31
3	125	66
3	126	26
127	3	40
128	3	15
129	3	42
3	130	48
131	3	64
132	3	84
133	3	95
3	134	64
3	135	39
136	3	34
137	3	69
138	3	71
3	139	88
140	3	28
3	141	48
3	142	81
143	3	90
3	144	38
3	145	33
3	146	33
147	3	83
148	3	93
3	149	100
150	3	41
3	151	87
152	3	58
153	3	31
154	3	33
3	155	26
156	3	71
3	157	82
3	158	79
3	159	61
3	160	11
161	3	23
162	3	53
3	163	89
3	164	9
165	3	40
166	3	86
3	167	95
168	3	27
3	169	83
170	3	38
171	3	42
172	3	39
3	173	26
3	174	41
3	175	55
176	3	62
3	177	47
178	3	22
179	3	20
3	180	64
181	3	10
182	3	92
183	3	83
184	3	11
3	185	73
3	186	91
187	3	44
3	188	79
3	189	99
190	3	56
191	3	48
3	192	46
193	3	5
194	3	8
3	195	79
196	3	52
3	197	37
3	198	74
3	199	49
3	200	26
201	3	87
3	202	95
203	3	89
204	3	98
3	205	49
206	3	12
207	3	10
208	3	25
3	209	66
3	210	53
211	3	42
212	3	52
213	3	39
214	3	13
3	215	16
216	3	65
3	217	17
218	3	39
219	3	61
220	3	43
3	221	86
3	222	12
3	223	57
3	224	68
225	3	78
3	226	65
3	227	23
3	228	17
3	229	4
3	230	54
3	231	31
3	232	81
3	233	66
3	234	15
235	3	31
3	236	65
237	3	29
3	238	63
3	239	12
3	240	23
241	3	33
3	242	98
243	3	45
3	244	51
3	245	63
3	246	87
247	3	37
248	3	71
249	3	16
250	3	82
3	251	5
3	252	95
253	3	33
254	3	27
3	255	45
3	256	20
257	3	8
3	258	48
3	259	52
260	3	15
261	3	87
3	262	4
3	263	77
264	3	4
265	3	38
3	266	44
3	267	52
3	268	44
3	269	2
270	3	80
3	271	80
3	272	80
273	3	67
274	3	66
275	3	39
276	3	63
3	277	90
3	278	87
3	279	99
3	280	71
281	3	92
282	3	38
3	283	18
284	3	79
3	285	54
286	3	98
3	287	64
288	3	75
289	3	33
3	290	50
3	291	87
3	292	75
293	3	80
3	294	91
295	3	20
3	296	37
297	3	32
298	3	61
299	3	21
4	5	50
6	4	96
7	4	74
4	8	35
4	9	48
10	4	62
4	11	31
12	4	45
4	13	70
14	4	48
15	4	4
4	16	13
4	17	35
18	4	78
19	4	86
20	4	25
21	4	14
22	4	56
23	4	76
24	4	33
4	25	97
26	4	3
4	27	66
28	4	92
29	4	65
4	30	45
31	4	64
32	4	60
33	4	15
34	4	53
35	4	86
4	36	18
37	4	81
4	38	59
4	39	2
4	40	65
4	41	70
4	42	17
4	43	80
44	4	41
45	4	30
4	46	21
4	47	82
4	48	64
49	4	64
4	50	83
4	51	15
4	52	69
4	53	37
54	4	98
55	4	65
4	56	73
57	4	14
58	4	69
59	4	96
60	4	50
61	4	69
4	62	61
63	4	29
4	64	24
65	4	33
66	4	43
67	4	72
68	4	10
69	4	71
4	70	36
4	71	46
4	72	17
73	4	60
4	74	7
4	75	58
76	4	15
4	77	47
78	4	54
4	79	21
4	80	31
4	81	17
4	82	86
4	83	12
4	84	68
4	85	56
86	4	38
4	87	21
4	88	99
89	4	82
90	4	95
91	4	9
4	92	89
4	93	79
4	94	100
95	4	45
96	4	77
97	4	84
98	4	52
99	4	42
4	100	42
4	101	73
4	102	21
4	103	73
4	104	43
4	105	16
4	106	82
107	4	55
108	4	7
4	109	39
4	110	13
111	4	38
4	112	59
113	4	20
4	114	6
115	4	69
116	4	30
117	4	63
118	4	15
4	119	89
4	120	28
4	121	16
4	122	13
123	4	44
124	4	26
125	4	98
126	4	57
127	4	53
4	128	14
129	4	56
4	130	7
4	131	24
132	4	45
4	133	14
4	134	39
135	4	4
136	4	92
137	4	70
4	138	29
139	4	94
4	140	36
141	4	32
4	142	87
143	4	36
4	144	60
145	4	87
146	4	41
147	4	14
148	4	76
149	4	90
4	150	33
4	151	64
152	4	75
4	153	29
154	4	35
4	155	9
156	4	89
157	4	80
4	158	18
4	159	87
4	160	64
161	4	29
162	4	4
4	163	14
164	4	32
165	4	4
166	4	3
167	4	78
4	168	48
4	169	84
170	4	44
171	4	67
172	4	6
173	4	32
4	174	61
175	4	8
176	4	45
177	4	31
178	4	26
179	4	48
4	180	74
181	4	84
4	182	84
4	183	31
4	184	22
185	4	62
186	4	77
187	4	80
4	188	53
4	189	83
190	4	62
191	4	30
4	192	50
4	193	10
4	194	82
4	195	13
196	4	94
4	197	57
4	198	15
4	199	87
200	4	54
4	201	9
4	202	99
203	4	7
4	204	70
4	205	21
4	206	5
207	4	96
208	4	23
209	4	92
4	210	100
211	4	70
212	4	43
4	213	2
4	214	48
215	4	93
216	4	14
4	217	12
4	218	95
219	4	10
4	220	47
4	221	80
222	4	53
223	4	18
224	4	1
225	4	41
4	226	23
227	4	25
4	228	76
4	229	38
230	4	5
231	4	11
4	232	59
4	233	60
234	4	2
235	4	45
236	4	28
4	237	27
238	4	49
4	239	30
4	240	1
4	241	6
242	4	85
4	243	52
244	4	84
4	245	12
246	4	65
4	247	70
4	248	65
249	4	14
4	250	21
251	4	46
252	4	47
253	4	55
4	254	19
255	4	76
256	4	41
4	257	84
4	258	14
4	259	20
260	4	70
261	4	87
262	4	23
4	263	51
264	4	7
4	265	14
266	4	42
4	267	17
268	4	31
269	4	92
4	270	80
271	4	62
272	4	20
4	273	1
274	4	36
4	275	3
4	276	48
4	277	62
278	4	67
4	279	74
280	4	19
281	4	23
4	282	59
4	283	45
4	284	8
285	4	3
4	286	41
287	4	47
4	288	57
4	289	100
290	4	47
4	291	76
4	292	83
4	293	24
294	4	11
4	295	90
4	296	41
297	4	79
4	298	41
299	4	96
5	6	44
7	5	67
8	5	41
9	5	94
10	5	87
5	11	68
12	5	17
5	13	98
5	14	32
5	15	76
16	5	6
5	17	66
18	5	51
19	5	90
20	5	58
5	21	30
22	5	6
5	23	65
24	5	57
5	25	59
5	26	41
27	5	12
28	5	26
5	29	4
30	5	39
31	5	81
32	5	4
33	5	36
5	34	5
35	5	51
36	5	32
37	5	25
5	38	14
39	5	11
40	5	34
41	5	48
5	42	75
5	43	60
5	44	68
45	5	53
46	5	84
5	47	89
48	5	63
5	49	61
50	5	38
51	5	64
52	5	100
5	53	61
5	54	30
5	55	94
5	56	64
57	5	97
58	5	47
59	5	70
5	60	59
61	5	20
5	62	44
5	63	29
5	64	22
65	5	46
5	66	40
5	67	93
68	5	56
69	5	80
5	70	6
5	71	69
72	5	18
5	73	67
5	74	51
5	75	25
5	76	70
5	77	85
5	78	35
5	79	19
5	80	4
81	5	95
82	5	55
83	5	53
84	5	82
85	5	2
5	86	84
5	87	16
88	5	18
89	5	96
90	5	60
5	91	85
92	5	30
93	5	45
5	94	83
95	5	25
96	5	48
5	97	67
5	98	22
5	99	27
5	100	59
101	5	14
5	102	99
5	103	57
104	5	9
105	5	16
5	106	88
5	107	71
108	5	5
5	109	13
110	5	29
5	111	88
112	5	22
5	113	57
114	5	43
115	5	93
5	116	69
5	117	22
118	5	55
5	119	75
5	120	28
121	5	12
5	122	3
5	123	96
124	5	28
125	5	30
5	126	63
5	127	33
5	128	20
5	129	27
5	130	22
131	5	71
132	5	30
133	5	42
5	134	22
5	135	7
136	5	79
5	137	74
5	138	22
5	139	70
5	140	70
5	141	61
5	142	63
5	143	69
5	144	2
5	145	54
146	5	6
147	5	84
5	148	71
5	149	88
5	150	80
5	151	57
5	152	96
5	153	53
154	5	58
155	5	4
156	5	83
5	157	4
5	158	34
5	159	97
160	5	65
5	161	15
162	5	81
163	5	70
164	5	98
5	165	20
166	5	51
5	167	26
5	168	92
5	169	45
5	170	84
171	5	85
5	172	33
173	5	22
5	174	45
175	5	9
5	176	50
177	5	14
5	178	83
5	179	49
5	180	70
5	181	41
182	5	42
5	183	25
5	184	16
185	5	16
186	5	9
187	5	5
188	5	36
189	5	57
5	190	32
191	5	37
192	5	71
193	5	66
194	5	34
195	5	32
5	196	66
5	197	41
198	5	13
5	199	67
200	5	4
201	5	18
5	202	43
5	203	77
204	5	35
205	5	58
206	5	2
207	5	38
5	208	32
209	5	18
5	210	79
211	5	45
212	5	89
213	5	23
5	214	78
5	215	22
5	216	70
217	5	48
5	218	73
219	5	90
220	5	64
221	5	91
5	222	6
5	223	52
224	5	15
225	5	4
5	226	54
227	5	56
228	5	73
5	229	95
230	5	49
5	231	99
232	5	91
233	5	67
234	5	30
235	5	66
5	236	90
237	5	72
5	238	43
239	5	58
5	240	35
5	241	33
242	5	29
5	243	88
244	5	23
245	5	48
5	246	68
5	247	69
248	5	32
249	5	18
5	250	98
251	5	45
252	5	85
253	5	74
254	5	24
5	255	87
5	256	95
257	5	42
258	5	41
5	259	76
260	5	41
261	5	17
262	5	82
263	5	92
5	264	57
5	265	87
5	266	10
267	5	4
5	268	92
269	5	61
270	5	55
5	271	87
272	5	70
5	273	15
5	274	34
5	275	22
276	5	10
277	5	32
278	5	79
5	279	30
280	5	33
281	5	81
5	282	31
5	283	16
284	5	29
5	285	72
5	286	33
287	5	99
288	5	4
289	5	75
5	290	30
291	5	14
5	292	25
5	293	72
294	5	21
295	5	70
296	5	62
5	297	59
298	5	15
5	299	67
7	6	67
8	6	3
6	9	15
6	10	19
6	11	11
6	12	68
6	13	29
14	6	51
6	15	97
16	6	25
6	17	23
18	6	48
19	6	93
6	20	45
6	21	85
22	6	44
23	6	94
6	24	63
6	25	30
26	6	17
6	27	22
28	6	87
6	29	22
6	30	23
31	6	57
6	32	66
6	33	85
34	6	67
35	6	55
6	36	85
6	37	4
6	38	27
6	39	89
40	6	69
6	41	43
42	6	26
43	6	49
6	44	21
45	6	15
46	6	42
6	47	100
6	48	85
49	6	65
50	6	81
6	51	60
52	6	2
6	53	39
6	54	1
55	6	90
6	56	23
6	57	94
6	58	92
59	6	58
6	60	82
61	6	48
62	6	19
63	6	77
64	6	38
6	65	47
66	6	57
6	67	78
68	6	84
69	6	73
70	6	51
6	71	69
72	6	39
6	73	42
6	74	62
75	6	36
76	6	21
77	6	55
6	78	24
79	6	79
6	80	35
6	81	17
82	6	91
6	83	69
84	6	69
85	6	38
86	6	15
87	6	64
88	6	98
89	6	22
6	90	43
91	6	38
92	6	17
93	6	40
6	94	42
6	95	97
6	96	64
6	97	26
6	98	30
99	6	61
6	100	32
101	6	83
102	6	36
103	6	90
6	104	62
6	105	65
6	106	53
6	107	80
108	6	1
109	6	14
6	110	21
6	111	34
6	112	72
6	113	6
6	114	91
6	115	14
116	6	45
117	6	89
6	118	81
119	6	40
6	120	38
121	6	57
6	122	73
123	6	84
6	124	35
125	6	64
126	6	31
6	127	37
128	6	25
6	129	60
6	130	20
6	131	94
132	6	90
133	6	94
6	134	70
6	135	82
136	6	57
137	6	15
138	6	41
139	6	13
6	140	11
141	6	56
142	6	49
6	143	5
144	6	27
145	6	9
6	146	5
147	6	78
6	148	18
6	149	37
150	6	53
6	151	45
152	6	30
6	153	92
154	6	95
155	6	74
6	156	65
157	6	46
158	6	83
6	159	25
6	160	4
6	161	62
162	6	71
6	163	91
164	6	69
6	165	29
6	166	73
6	167	76
168	6	77
6	169	77
6	170	76
171	6	91
172	6	94
173	6	76
6	174	56
6	175	40
176	6	100
177	6	18
178	6	65
6	179	38
180	6	61
181	6	90
182	6	13
183	6	85
6	184	31
6	185	35
186	6	1
6	187	10
188	6	21
189	6	82
190	6	95
191	6	61
6	192	53
193	6	2
6	194	73
6	195	18
196	6	37
197	6	81
6	198	56
199	6	80
6	200	12
6	201	14
202	6	91
6	203	62
204	6	7
205	6	35
206	6	50
207	6	95
208	6	95
209	6	7
6	210	83
211	6	24
212	6	33
6	213	19
6	214	70
215	6	71
216	6	32
6	217	45
218	6	91
219	6	14
220	6	41
6	221	1
222	6	84
223	6	89
6	224	29
225	6	96
6	226	61
6	227	41
6	228	15
229	6	37
6	230	29
231	6	10
232	6	24
233	6	79
6	234	57
235	6	30
6	236	64
6	237	60
238	6	30
239	6	99
240	6	21
6	241	35
6	242	82
6	243	93
6	244	82
6	245	64
6	246	32
6	247	55
6	248	29
6	249	95
250	6	12
6	251	40
252	6	49
253	6	95
6	254	69
255	6	26
256	6	23
6	257	39
258	6	14
6	259	7
260	6	42
261	6	54
6	262	26
263	6	86
264	6	12
6	265	99
266	6	32
6	267	55
6	268	96
269	6	76
270	6	29
6	271	54
6	272	21
273	6	72
274	6	99
6	275	57
276	6	73
277	6	31
278	6	62
6	279	30
6	280	22
6	281	72
282	6	94
283	6	27
6	284	15
285	6	55
6	286	29
6	287	58
6	288	31
289	6	48
6	290	21
291	6	60
292	6	42
6	293	52
6	294	80
6	295	4
296	6	41
297	6	91
6	298	42
6	299	58
7	8	87
7	9	42
10	7	71
11	7	37
7	12	44
7	13	7
7	14	14
7	15	21
7	16	93
17	7	53
18	7	26
7	19	58
20	7	12
21	7	17
22	7	35
23	7	71
24	7	5
7	25	5
26	7	99
27	7	19
28	7	86
7	29	51
30	7	54
31	7	99
32	7	64
33	7	50
7	34	47
35	7	69
7	36	82
7	37	83
38	7	32
7	39	13
7	40	78
41	7	47
42	7	12
43	7	33
7	44	5
45	7	11
46	7	83
7	47	79
48	7	46
49	7	5
7	50	42
51	7	84
7	52	70
7	53	13
54	7	52
55	7	60
56	7	67
7	57	71
58	7	84
7	59	79
7	60	55
61	7	59
7	62	25
7	63	46
64	7	71
7	65	69
7	66	82
7	67	91
68	7	75
7	69	18
7	70	90
7	71	22
72	7	92
7	73	83
7	74	63
7	75	100
76	7	56
7	77	69
7	78	10
79	7	85
80	7	92
81	7	17
7	82	31
7	83	20
7	84	72
85	7	33
7	86	73
7	87	74
7	88	67
89	7	38
7	90	44
91	7	84
7	92	10
93	7	32
94	7	25
7	95	16
7	96	83
97	7	24
7	98	35
7	99	87
100	7	97
101	7	57
102	7	48
103	7	39
7	104	73
7	105	69
106	7	70
107	7	36
108	7	89
109	7	84
110	7	74
7	111	45
112	7	44
113	7	25
114	7	5
115	7	55
7	116	63
7	117	92
7	118	2
119	7	49
7	120	95
121	7	29
122	7	71
7	123	84
124	7	92
7	125	47
7	126	92
7	127	81
128	7	72
129	7	32
130	7	12
7	131	82
7	132	59
133	7	43
134	7	81
7	135	82
7	136	53
137	7	93
7	138	35
139	7	16
140	7	97
141	7	5
7	142	36
143	7	93
144	7	33
7	145	62
146	7	4
7	147	51
148	7	58
7	149	59
7	150	18
7	151	9
7	152	23
153	7	30
7	154	49
155	7	9
7	156	79
157	7	64
158	7	40
7	159	2
160	7	63
7	161	44
7	162	22
7	163	10
164	7	13
7	165	1
7	166	47
167	7	89
7	168	17
169	7	41
7	170	59
7	171	83
172	7	7
7	173	99
174	7	32
175	7	87
7	176	44
177	7	92
178	7	63
179	7	10
7	180	74
181	7	82
182	7	86
183	7	74
7	184	13
185	7	61
7	186	57
7	187	58
7	188	54
7	189	54
7	190	94
191	7	29
192	7	67
7	193	73
194	7	61
195	7	9
196	7	75
197	7	70
198	7	76
199	7	54
200	7	69
201	7	98
202	7	2
203	7	27
7	204	87
7	205	47
7	206	78
207	7	41
7	208	48
209	7	78
210	7	79
7	211	42
7	212	29
213	7	60
214	7	78
215	7	84
216	7	79
217	7	71
7	218	72
7	219	71
7	220	30
221	7	42
222	7	93
7	223	75
7	224	17
7	225	98
226	7	93
227	7	61
228	7	38
229	7	75
230	7	81
231	7	32
7	232	63
7	233	15
234	7	20
7	235	43
7	236	6
237	7	49
238	7	34
239	7	26
7	240	37
7	241	53
242	7	44
243	7	33
244	7	17
7	245	74
7	246	42
247	7	40
7	248	20
249	7	80
7	250	95
7	251	95
252	7	97
253	7	99
7	254	55
7	255	4
256	7	95
7	257	100
7	258	37
7	259	52
7	260	57
7	261	20
7	262	18
263	7	99
264	7	13
7	265	42
